iter	RMSE
0	12612.99014
1	11609.13548
2	10724.04589
3	9950.845051
4	9283.385916
5	8706.315705
6	8195.369177
7	7750.458405
8	7382.799996
9	7063.756467
10	6791.113615
11	6557.859973
12	6364.900518
13	6198.849193
14	6059.887138
15	5951.53923
16	5860.042713
17	5784.361794
18	5717.920391
19	5669.89909
20	5622.919587
21	5584.65747
22	5554.211999
23	5526.188325
24	5503.626446
25	5483.463354
26	5469.638073
27	5460.32876
28	5448.36013
29	5438.613253
30	5429.981001
31	5421.00353
32	5412.794822
33	5405.824693
34	5401.799708
35	5397.552165
36	5393.474728
37	5388.172433
38	5384.984267
39	5381.036712
40	5377.123075
41	5374.407807
42	5372.404341
43	5370.17373
44	5367.836346
45	5365.416449
46	5364.142724
47	5361.723288
48	5359.598118
49	5356.884511
50	5355.277599
51	5353.670797
52	5352.052405
53	5350.367732
54	5349.199604
55	5348.477792
56	5347.347146
57	5346.623582
58	5345.474009
59	5344.445042
60	5343.357028
61	5343.200261
62	5342.113978
63	5341.454764
64	5340.554026
65	5339.925225
66	5338.726919
67	5338.03747
68	5337.468167
69	5336.087123
70	5335.517609
71	5334.796987
72	5333.87296
73	5332.921697
74	5332.358308
75	5331.324918
76	5330.600189
77	5329.582465
78	5329.242183
79	5328.756959
80	5328.209329
81	5327.668478
82	5326.257755
83	5325.654363
84	5324.941531
85	5323.877207
86	5322.829033
87	5322.308383
88	5322.00745
89	5321.311031
90	5319.919461
91	5319.175676
92	5318.200885
93	5316.842503
94	5315.359174
95	5314.564713
96	5313.707716
97	5313.052009
98	5312.435912
99	5311.576712
100	5310.972927
101	5309.822815
102	5309.013008
103	5307.944106
104	5307.37116
105	5306.681149
106	5305.645807
107	5304.679783
108	5303.972616
109	5303.404073
110	5302.912057
111	5302.201439
112	5301.310117
113	5300.54399
114	5299.622349
115	5299.229922
116	5298.800831
117	5298.127838
118	5297.73159
119	5296.829048
120	5296.233951
121	5295.411035
122	5294.810246
123	5294.09667
124	5293.363836
125	5292.822639
126	5292.350791
127	5291.796369
128	5291.127774
129	5290.461847
130	5289.729713
131	5289.285538
132	5288.706718
133	5287.836146
134	5287.161232
135	5286.359523
136	5285.589182
137	5284.94604
138	5284.305514
139	5283.651094
140	5283.133091
141	5282.671864
142	5282.158217
143	5281.644913
144	5281.002967
145	5280.561506
146	5279.984133
147	5279.626398
148	5279.050326
149	5278.57772
