iter	Passed	Remaining
0	2	384
1	4	355
2	7	344
3	9	334
4	11	328
5	13	325
6	16	329
7	18	326
8	20	324
9	22	319
10	25	316
11	27	312
12	29	312
13	31	310
14	34	308
15	36	308
16	39	306
17	41	303
18	43	300
19	45	296
20	47	293
21	49	290
22	52	287
23	54	284
24	56	281
25	58	279
26	60	277
27	62	273
28	64	270
29	66	267
30	69	265
31	71	262
32	73	260
33	75	258
34	78	256
35	80	253
36	82	251
37	84	248
38	86	246
39	88	244
40	91	242
41	93	239
42	95	237
43	97	235
44	99	233
45	102	230
46	104	229
47	106	227
48	109	224
49	111	222
50	113	220
51	115	218
52	117	215
53	120	213
54	122	211
55	124	209
56	127	207
57	129	205
58	131	202
59	134	201
60	136	199
61	138	196
62	140	194
63	142	191
64	145	189
65	147	187
66	149	185
67	151	183
68	154	180
69	156	178
70	158	176
71	160	174
72	163	172
73	165	169
74	167	167
75	169	165
76	172	163
77	174	160
78	176	158
79	178	156
80	181	154
81	183	152
82	185	149
83	187	147
84	190	145
85	192	143
86	194	140
87	196	138
88	199	136
89	201	134
90	203	131
91	205	129
92	207	127
93	210	125
94	212	122
95	214	120
96	216	118
97	218	116
98	220	113
99	222	111
100	225	109
101	227	107
102	229	104
103	231	102
104	234	100
105	236	98
106	238	95
107	240	93
108	243	91
109	245	89
110	247	86
111	249	84
112	251	82
113	254	80
114	256	77
115	258	75
116	260	73
117	262	71
118	264	69
119	267	66
120	269	64
121	271	62
122	273	60
123	275	57
124	278	55
125	280	53
126	282	51
127	284	48
128	287	46
129	289	44
130	291	42
131	293	40
132	296	37
133	299	35
134	301	33
135	303	31
136	305	29
137	308	26
138	310	24
139	312	22
140	315	20
141	317	17
142	319	15
143	321	13
144	323	11
145	325	8
146	328	6
147	330	4
148	332	2
149	334	0
